dt,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature,LandAverageTemperature
1750-01-01,,,,3.034
1750-02-01,,,,3.083
1750-03-01,,,,5.626
1750-04-01,,,,8.49
1750-05-01,,,,11.573
1750-06-01,,,,12.937
1750-07-01,,,,15.868
1750-08-01,,,,14.75
1750-09-01,,,,11.413
1750-10-01,,,,6.367
1750-11-01,,,,
1750-12-01,,,,2.772
1751-01-01,,,,2.495
1751-02-01,,,,0.963
1751-03-01,,,,5.8
1751-04-01,,,,7.67
1751-05-01,,,,
1751-06-01,,,,13.827
1751-07-01,,,,
1751-08-01,,,,14.405
1751-09-01,,,,10.673
1751-10-01,,,,
1751-11-01,,,,
1751-12-01,,,,
1752-01-01,,,,0.348
1752-02-01,,,,
1752-03-01,,,,5.806
1752-04-01,,,,8.265
1752-05-01,,,,
1752-06-01,,,,
1752-07-01,,,,
1752-08-01,,,,
1752-09-01,,,,
1752-10-01,,,,7.839
1752-11-01,,,,7.335
1752-12-01,,,,5.086
1753-01-01,,,,2.039
1753-02-01,,,,0.715
1753-03-01,,,,5.424
1753-04-01,,,,8.272
1753-05-01,,,,12.186
1753-06-01,,,,14.585
1753-07-01,,,,15.092
1753-08-01,,,,14.148
1753-09-01,,,,13.322
1753-10-01,,,,8.962
1753-11-01,,,,5.353
1753-12-01,,,,0.559
1754-01-01,,,,1.574
1754-02-01,,,,-1.249
1754-03-01,,,,3.677
1754-04-01,,,,11.61
1754-05-01,,,,11.936
1754-06-01,,,,14.388
1754-07-01,,,,14.681
1754-08-01,,,,13.556
1754-09-01,,,,11.129
1754-10-01,,,,9.582
1754-11-01,,,,6.161
1754-12-01,,,,4.587
1755-01-01,,,,1.067
1755-02-01,,,,-0.108
1755-03-01,,,,3.607
1755-04-01,,,,9.263
1755-05-01,,,,12.881
1755-06-01,,,,15.38
1755-07-01,,,,14.397
1755-08-01,,,,13.515
1755-09-01,,,,11.773
1755-10-01,,,,9.97
1755-11-01,,,,5.958
1755-12-01,,,,2.564
1756-01-01,,,,3.887
1756-02-01,,,,5.666
1756-03-01,,,,4.192
1756-04-01,,,,10.042
1756-05-01,,,,14.164
1756-06-01,,,,14.547
1756-07-01,,,,13.906
1756-08-01,,,,13.437
1756-09-01,,,,12.652
1756-10-01,,,,7.312
1756-11-01,,,,4.225
1756-12-01,,,,2.165
1757-01-01,,,,-0.276
1757-02-01,,,,3.704
1757-03-01,,,,4.529
1757-04-01,,,,8.246
1757-05-01,,,,13.039
1757-06-01,,,,17.115
1757-07-01,,,,17.61
1757-08-01,,,,17.91
1757-09-01,,,,14.852
1757-10-01,,,,6.482
1757-11-01,,,,4.032
1757-12-01,,,,1.021
1758-01-01,,,,-1.503
1758-02-01,,,,0.806
1758-03-01,,,,3.765
1758-04-01,,,,7.21
1758-05-01,,,,9.715
1758-06-01,,,,13.139
1758-07-01,,,,13.847
1758-08-01,,,,11.818
1758-09-01,,,,10.028
1758-10-01,,,,1.894
1758-11-01,,,,6.955
1758-12-01,,,,3.249
1759-01-01,,,,5.014
1759-02-01,,,,4.082
1759-03-01,,,,4.52
1759-04-01,,,,5.983
1759-05-01,,,,10.189
1759-06-01,,,,13.512
1759-07-01,,,,12.526
1759-08-01,,,,14.587
1759-09-01,,,,12.626
1759-10-01,,,,8.267
1759-11-01,,,,4.268
1759-12-01,,,,0.247
1760-01-01,,,,-0.811
1760-02-01,,,,2.436
1760-03-01,,,,1.864
1760-04-01,,,,7.436
1760-05-01,,,,10.661
1760-06-01,,,,11.945
1760-07-01,,,,12.887
1760-08-01,,,,13.917
1760-09-01,,,,11.197
1760-10-01,,,,6.701
1760-11-01,,,,5.436
1760-12-01,,,,2.553
1761-01-01,,,,0.6
1761-02-01,,,,2.735
1761-03-01,,,,5.976
1761-04-01,,,,7.321
1761-05-01,,,,13.451
1761-06-01,,,,16.821
1761-07-01,,,,19.021
1761-08-01,,,,15.331
1761-09-01,,,,12.535
1761-10-01,,,,7.227
1761-11-01,,,,5.089
1761-12-01,,,,-0.837
1762-01-01,,,,6.866
1762-02-01,,,,4.801
1762-03-01,,,,3.528
1762-04-01,,,,9.019
1762-05-01,,,,10.881
1762-06-01,,,,13.499
1762-07-01,,,,14.72
1762-08-01,,,,13.992
1762-09-01,,,,10.326
1762-10-01,,,,6.156
1762-11-01,,,,6.367
1762-12-01,,,,3.123
1763-01-01,,,,1.369
1763-02-01,,,,0.771
1763-03-01,,,,1.576
1763-04-01,,,,7.871
1763-05-01,,,,10.701
1763-06-01,,,,12.271
1763-07-01,,,,16.391
1763-08-01,,,,14.126
1763-09-01,,,,11.378
1763-10-01,,,,5.535
1763-11-01,,,,4.588
1763-12-01,,,,3.384
1764-01-01,,,,1.741
1764-02-01,,,,6.162
1764-03-01,,,,5.521
1764-04-01,,,,7.88
1764-05-01,,,,11.175
1764-06-01,,,,11.723
1764-07-01,,,,12.507
1764-08-01,,,,12.282
1764-09-01,,,,10.696
1764-10-01,,,,10.011
1764-11-01,,,,5.791
1764-12-01,,,,5.315
1765-01-01,,,,3.78
1765-02-01,,,,3.832
1765-03-01,,,,6.859
1765-04-01,,,,9.013
1765-05-01,,,,10.734
1765-06-01,,,,10.833
1765-07-01,,,,13.953
1765-08-01,,,,13.12
1765-09-01,,,,10.993
1765-10-01,,,,7.904
1765-11-01,,,,5.603
1765-12-01,,,,2.399
1766-01-01,,,,-0.793
1766-02-01,,,,4.896
1766-03-01,,,,6.062
1766-04-01,,,,8.007
1766-05-01,,,,11.228
1766-06-01,,,,13.653
